,0
0,0.05810923306271434
1,0.05431521171703935
2,0.051537631638348104
3,0.045240112207829954
4,0.04094993015751243
5,0.03852859828621149
6,0.03772527370601893
7,0.036144367698580024
8,0.03545171832665801
9,0.03478290988132358
10,0.03413319503888488
11,0.033175994921475646
12,0.03317605117335916
13,0.03249902445822954
14,0.03227524859830737
15,0.030397036019712685
16,0.02847521435469389
17,0.02759433286264539
18,0.02681123502552509
19,0.026637650839984418
20,0.026312902197241785
21,0.02624537288211286
22,0.025479742838069797
23,0.02517208447679877
24,0.02401979500427842
25,0.023968713358044624
26,0.02348684836179018
27,0.02331778723746538
28,0.022889314824715255
29,0.022689723456278444
30,0.022295648604631423
31,0.022092551225796342
32,0.0219214100856334
33,0.021762589225545526
34,0.021651416271924972
35,0.021401803568005563
36,0.020832335390150548
37,0.020685368217527866
38,0.020631408458575605
39,0.020466312160715462
40,0.020378756569698453
41,0.020230480749160052
42,0.020125526841729878
43,0.020112461410462856
44,0.020084784412756563
45,0.02005879902280867
46,0.019981452962383628
47,0.019906641682609916
48,0.01981251141987741
49,0.019685847312211992
50,0.01957198358140886
51,0.019412174262106417
52,0.01933432640507817
53,0.019133692048490046
54,0.019008853100240232
55,0.01881810948252678
56,0.018670869059860706
57,0.018623438850045203
58,0.01847248603589833
59,0.01835463256575167
60,0.018283464573323728
61,0.018091344553977252
62,0.018032866390421988
63,0.018047952419146897
64,0.017997373873367906
65,0.01781639172695577
66,0.017770536430180072
67,0.01767359543591738
68,0.017630853271111847
69,0.01756963157095015
70,0.01750755407847464
71,0.017395015386864544
72,0.01730055920779705
73,0.017244614753872158
74,0.017232923256233334
75,0.0171425293199718
76,0.01714503178372979
77,0.017092420859262346
78,0.01706677461043
79,0.017053893953561782
80,0.016976867942139505
81,0.0169235045555979
82,0.016673515923321246
83,0.016540718637406825
84,0.01650241147726774
85,0.016332950489595533
86,0.01628651167266071
87,0.016236546356230973
88,0.01613812455907464
89,0.016122718155384064
90,0.01611599214375019
91,0.01603797716088593
92,0.016027051396667956
93,0.015984545601531862
94,0.01597250453196466
95,0.015950960153713823
96,0.0158943853341043
97,0.015810464229434728
98,0.015745086688548328
99,0.015664721885696054
100,0.015437695197761059
101,0.0153910624794662
102,0.015291923889890313
103,0.015215626545250415
104,0.015178152406588197
105,0.015133148385211825
106,0.014873766154050828
107,0.014859455358237027
108,0.014790583727881312
109,0.014795821346342563
110,0.01472511705942452
111,0.014687982620671391
112,0.014651088882237673
113,0.014647919218987226
114,0.014706630306318403
115,0.014672647323459386
116,0.014575311541557312
117,0.014441843843087554
118,0.014251356991007925
119,0.014188634138554335
120,0.014157029008492828
121,0.014023023005574942
122,0.013959978194907307
123,0.013910666573792696
124,0.013816765462979674
125,0.013732888689264654
126,0.013570605590939522
127,0.013530562864616513
128,0.013579153083264827
129,0.013549747038632631
130,0.013511968590319157
131,0.013511983957141638
132,0.01347525545861572
133,0.01339666813146323
134,0.01318801415618509
135,0.013167878449894487
136,0.013167381915263832
137,0.013130220747552813
138,0.013118169293738902
139,0.013026377488858997
140,0.012963285320438445
141,0.012879076623357832
142,0.012854680488817393
143,0.012726050266064704
144,0.012698675552383066
145,0.012605768512003124
146,0.012581561389379204
147,0.0125241695670411
148,0.012492476194165648
149,0.012474140548147262
150,0.012425191071815788
151,0.012372623546980321
152,0.012318414472974836
153,0.012202449818141758
154,0.012209415226243437
155,0.012212191964499653
156,0.012192583456635476
157,0.012194431340321898
158,0.012107089487835765
159,0.012082042405381799
160,0.012077736156061291
161,0.012069440842606128
162,0.01200880587566644
163,0.011983673670329154
164,0.01197760256472975
165,0.011844010022468866
166,0.011812394578009843
167,0.011736152088269591
168,0.011680011171847582
169,0.011771859182044864
170,0.011639635567553342
171,0.011558155273087322
172,0.011528958869166672
173,0.011526298569515347
174,0.011468231584876776
175,0.01141748302616179
176,0.011387277161702514
177,0.011375999404117465
178,0.011347696417942643
179,0.011325252335518598
180,0.011323030525818466
181,0.011272792890667915
182,0.011237537232227623
183,0.011237039626576007
184,0.011211377987638115
185,0.011177447158843279
186,0.011164947133511304
187,0.01113896849565208
188,0.011131399264559149
189,0.011104594264179469
190,0.011086934804916381
191,0.011080228653736413
192,0.011075012246146798
193,0.011057977378368378
194,0.011057267291471362
195,0.011037889262661338
196,0.011024077283218503
197,0.011014735884964466
198,0.010955564677715302
199,0.010911710560321808
200,0.010932576516643167
201,0.010940534621477127
202,0.01093085720203817
203,0.010917968931607902
204,0.010911377728916705
205,0.010907690343447029
206,0.010869047814048826
207,0.010853793239220977
208,0.010845577390864492
209,0.010792730655521155
210,0.010777287930250169
211,0.010756898345425725
212,0.0107120452914387
213,0.010690314089879393
214,0.01055221671704203
215,0.010519814072176814
216,0.01050403225235641
217,0.010436046216636897
218,0.01042317075189203
219,0.010422551794908941
220,0.010389040689915419
221,0.010331223253160715
222,0.010352900205180048
223,0.010228847665712238
224,0.010215152287855744
225,0.010206676693633199
